帳列科目,有價證券,有價證券名稱,持有公司,期末,,,,
,,,,股數,帳面金額,"持股
比例",公允價值,備註
強制透過損益按公允價值衡量之金融資產－流動,基金,"Financial product issued by Fubon Bank (China) Co., Ltd.",聯發博動科技(北京)有限公司,-,"CNY 100,000",-,"CNY 100,000",-
強制透過損益按公允價值衡量之金融資產－流動,基金,"Fund issued by KGI Securities Co., Ltd.",聯發科技(股)公司,-,"$ 1,047,951",-,"$ 1,047,951",-
強制透過損益按公允價值衡量之金融資產－流動,組合式商品,BNP Paribas,旭展(香港)投資有限公司,-,"USD 9,991",-,"USD 9,991",-
強制透過損益按公允價值衡量之金融資產－流動,組合式商品,HSBC Holdings plc,旭展(香港)投資有限公司,-,"USD 9,993",-,"USD 9,993",-
強制透過損益按公允價值衡量之金融資產－流動,組合式商品,Standard Chartered,旭展(香港)投資有限公司,-,"USD 9,999",-,"USD 9,999",-
強制透過損益按公允價值衡量之金融資產－流動,組合式商品,UBS Group AG,旭展(香港)投資有限公司,-,"USD 9,986",-,"USD 9,986",-
強制透過損益按公允價值衡量之金融資產－流動,債券,Carsome Group Convertible Promissory Note,MTKC Global Holdings Co. Limited,-,"USD 11,932",-,"USD 11,932",-
強制透過損益按公允價值衡量之金融資產－非流動,信託基金,信託基金,MediaTek USA Inc.,-,"USD 63,033",-,"USD 63,033",-
強制透過損益按公允價值衡量之金融資產－非流動,債券,Ennoconn Corporation,翔發投資(股)公司,-,"$ 1,182,126",-,"$ 1,182,126",-
強制透過損益按公允價值衡量之金融資產－非流動,組合式商品,JPMorgan Chase & Co.,旭展(香港)投資有限公司,-,"USD 18,070",-,"USD 18,070",-
透過其他綜合損益按公允價值衡量之債務工具－流動,債券,"Taiwan Semiconductor Manufacturing Co., Ltd.",旭展(香港)投資有限公司,-,"USD 9,653",-,"USD 9,653",-
透過其他綜合損益按公允價值衡量之權益工具－流動,股票,晶心科技(股)公司,翔發投資(股)公司,"3,249,324","$ 1,031,660",6%,"$ 1,031,660",-
透過其他綜合損益按公允價值衡量之權益工具－流動,股票,深圳市匯頂科技股份有限公司,匯發國際(香港)有限公司,"13,126,705","USD 129,533",3%,"USD 129,533",-
透過其他綜合損益按公允價值衡量之債務工具－非流動,債券,"Taiwan Semiconductor Manufacturing Co., Ltd.",旭展(香港)投資有限公司,-,"USD 9,602",-,"USD 9,602",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,股票,Adoresys Pte. Ltd.,MTKC Global Holdings Co. Limited,"15,833,333","USD 9,500",14%,"USD 9,500",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,股票,"Aeonsemi, Inc.",Digimoc Holdings Limited,"1,417,657","USD 20,210",6%,"USD 20,210",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,股票,"AutoX, Inc.",Digimoc Holdings Limited,"55,009,500","USD 56,605",3%,"USD 56,605",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,股票,ITH Corporation,Gaintech Co. Limited,"53,889,085","USD 81,818",11%,"USD 81,818",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,股票,Sandtek Corporation,MTKC Global Holdings Co. Limited,"706,023","USD 20,651",9%,"USD 20,651",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,股票,Transsnet FinTech Group,MTKC Global Holdings Co. Limited,"14,256,620","USD 19,389",2%,"USD 19,389",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,股票,TRANSSNET TECHNOLOGY INC.,Cloud Ranger Limited,"1,970,316","USD 11,806",8%,"USD 11,806",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,股票,世芯電子股份有限公司,聯發資本(股)公司,"450,000","$ 1,010,979",1%,"$ 1,010,979",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,股票,台新金融控股(股)公司己種交換特別股,聯發科技(股)公司,"45,325,000","$ 722,934",0%,"$ 722,934",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,股票,富邦金融控股(股)公司丙種特別股,聯發科技(股)公司,"7,056,243","$ 368,336",0%,"$ 368,336",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,股票,富邦金融控股(股)公司乙種特別股,聯發科技(股)公司,"15,000,000","$ 931,500",0%,"$ 931,500",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,股票,文曄科技股份有限公司甲種特別股,聯發科技(股)公司,"8,241,000","$ 412,050",1%,"$ 412,050",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,股票,深圳傳音控股股份有限公司,Digimoc Holdings Limited,"71,573,109","USD 893,690",6%,"USD 893,690",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,股票,瀚博半導體(上海)有限公司,MTKC Global Holdings Co. Limited,"4,252,861","USD 9,235",1%,"USD 9,235",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,股票,聯發科技(股)公司,翔發投資(股)公司,"7,794,085","$ 10,833,778",0%,"$ 10,833,778",註1
透過其他綜合損益按公允價值衡量之權益工具－非流動,股票,蘇州思必馳信息科技有限公司,聯發博動科技(北京)有限公司,"4,638,600","CNY 75,907",1%,"CNY 75,907",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,Achi Capital Partners Fund LP,Digimoc Holdings Limited,-,"USD 54,803",-,"USD 54,803",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,"Celesta Capital II, L.P.",Digimoc Holdings Limited,-,"USD 11,647",-,"USD 11,647",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,"Celesta Capital III, L.P.",Digimoc Holdings Limited,-,"USD 15,462",-,"USD 15,462",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,"China Broadband Capital Partners III, L.P.",Gaintech Co. Limited,-,"USD 11,714",-,"USD 11,714",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,"HOPU USD Master Fund III, L.P.",Gaintech Co. Limited,-,"USD 39,992",-,"USD 39,992",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,"Walden Technology Venture II,L.P.",Gaintech Co. Limited,-,"USD 10,104",-,"USD 10,104",-
