,,,,,,"既得條件/
限制條件"
協議之類型,,給與日,,給與股數,,
限制性股票股份支付,,民國112年2月,,"147,752,200",,"說明(1)
說明(1)
說明(2)
說明(2)
說明(2)"
″,,民國112年10月,,"6,804,732",,
員工認股權,,民國108年4月,,"25,947,021",,
″,,民國108年9月,,"473,000",,
″,,民國108年12月,,"6,013,755",,
股份獎勵計畫,,民國112年3月,,"2,869,153",,說明(3)
″,,民國112年9月,,"1,366,993",,說明(3)
"″
″",,民國112年11月,,"1,979,598
4,405,978
46,728,000
44,450,000",,說明(3)
,,民國113年3月,,,,說明(3)
員工認股權計畫,,民國112年1月,,,,說明(4)
限制員工權利新股計畫,,民國111年9月,,,,說明(5)
″,,民國111年11月,,"37,550,000",,說明(5)
庫藏股轉讓員工認股權,,附註六(二十三)6,,-,,說明(6)
